latitud,longitud
25.772323,-100.359753
25.751668,-100.357148
25.764982,-100.358306
25.70546,-100.362412
25.751903,-100.348915
25.763036,-100.364203
25.730827,-100.379327
25.790804,-100.384882
25.62909,-100.284381
25.642471,-100.312054
25.619999,-100.266493
25.746246,-100.34907
25.730484,-100.380582
25.740447,-100.346549
25.755112,-100.364921
25.660434,-100.325388
25.63305,-100.289424
25.753654,-100.369178
25.780288,-100.415801
25.778116,-100.366582
25.703543,-100.332586
25.709502,-100.371405
25.754249,-100.354951
25.653912,-100.311534
25.616676,-100.264734
25.662165,-100.329416
25.727204,-100.383141
25.757832,-100.390258
25.758687,-100.38899
25.739233,-100.341136
25.653261,-100.317502
25.717516,-100.323694
25.658881,-100.329645
25.727127,-100.382523
25.72868,-100.379119
25.733701,-100.378033
25.64183,-100.300269
25.637177,-100.309894
25.65881,-100.318667
25.753263,-100.356385
25.722357,-100.377516
25.698447,-100.284124
25.758698,-100.393437
25.737751,-100.326053
25.658726,-100.319976
25.643066,-100.312302
25.643317,-100.312486
25.747133,-100.358341
25.631067,-100.281338
25.638294,-100.308788
25.655956,-100.319607
25.656512,-100.317215
25.759045,-100.372592
25.628836,-100.281933
25.610949,-100.27311
25.616955,-100.263044
25.63952,-100.284625
25.628767,-100.288621
25.759377,-100.388936
25.656935,-100.312427
25.787347,-100.405638
25.770131,-100.370871
25.749244,-100.35922
25.721666,-100.395026
25.757385,-100.389096
25.66162,-100.321204
25.653058,-100.319346
25.769344,-100.362529
25.766585,-100.380877
25.784752,-100.401196
25.722925,-100.337425
25.777104,-100.365515
25.701909,-100.330349
25.721921,-100.359464
25.768066,-100.404964
25.712749,-100.324082
25.76528,-100.404087
25.651219,-100.278104
25.766712,-100.377906
25.751058,-100.359335
25.640336,-100.290291
25.680162,-100.345014
25.787765,-100.377234
25.785916,-100.400369
25.725191,-100.38334
25.718886,-100.373032
25.746757,-100.370161
25.698837,-100.283187
25.718723,-100.373028
25.776388,-100.380313
25.792493,-100.405547
25.760452,-100.353377
25.696928,-100.332963
25.759616,-100.382844
25.718437,-100.360723
25.673924,-100.39055
25.649075,-100.309922
25.583998,-100.236591
25.732075,-100.383959
25.692613,-100.282523
25.717673,-100.373271
25.783169,-100.371453
25.679391,-100.338235
25.759099,-100.383414
25.627514,-100.286507
25.681677,-100.360057
25.784643,-100.403127
25.713767,-100.372576
25.720097,-100.34486
25.768194,-100.364254
25.734865,-100.346256
25.687126,-100.292868
25.757668,-100.383031
25.747285,-100.353988
25.716973,-100.36187
25.641778,-100.31114
25.79642,-100.383802
25.754367,-100.35099
25.756734,-100.356958
25.641928,-100.303829
25.733487,-100.335421
25.784006,-100.40695
25.730672,-100.36712
25.656221,-100.311534
25.644558,-100.302342
25.695948,-100.350925
25.674312,-100.300177
25.779848,-100.387855
25.749108,-100.344486
25.737748,-100.33865
25.747028,-100.34801
25.63913,-100.307007
25.795852,-100.38446
25.712268,-100.359896
25.634044,-100.303924
25.768533,-100.35872
25.766501,-100.371677
25.642347,-100.313919
25.779438,-100.399889
25.635435,-100.295905
25.618891,-100.269144
25.755631,-100.369293
25.7542,-100.382174
25.736537,-100.381733
25.738389,-100.332338
25.757956,-100.353858
25.785908,-100.416018
25.756128,-100.383362
25.782896,-100.381877
25.741093,-100.33405
25.727513,-100.375885
25.77758,-100.415863
25.751667,-100.352766
25.665977,-100.287002
25.636455,-100.303262
25.758322,-100.393024
25.793149,-100.405608
25.704735,-100.279688
25.660077,-100.320281
25.768034,-100.384758
25.591369,-100.244147
25.728221,-100.376547
25.620286,-100.282582
25.697855,-100.289154
25.651683,-100.311231
25.781503,-100.370896
25.587239,-100.237797
25.666829,-100.317261
25.728579,-100.323797
25.694356,-100.322924
25.715565,-100.369146
25.590159,-100.243891
25.715501,-100.368247
25.773725,-100.361243
25.744,-100.354799
25.750618,-100.362069
25.759486,-100.38114
25.660595,-100.319651
25.65316,-100.315266
25.582222,-100.231881
25.731476,-100.326041
25.738986,-100.395798
25.590008,-100.243666
25.724581,-100.383175
25.741912,-100.341581
25.634522,-100.294538
25.760419,-100.391044
25.744976,-100.342882
25.744766,-100.375269
25.734748,-100.364132
25.733606,-100.330704
25.70154,-100.344189
25.783648,-100.4065
25.664499,-100.294398
25.766029,-100.383254
25.741913,-100.340146
25.723502,-100.323025
25.658104,-100.322039
25.752,-100.380249
25.765177,-100.360388
25.771938,-100.363844
25.730301,-100.334
25.697334,-100.286481
25.78157,-100.410186
25.726785,-100.382257
25.756975,-100.388236
25.659343,-100.327467
25.742927,-100.340335
25.764446,-100.380391
25.777997,-100.406283
25.686722,-100.315887
25.734347,-100.350018
25.733043,-100.384228
25.726747,-100.321582
25.774484,-100.378122
25.772105,-100.414645
25.726684,-100.321811
25.746159,-100.341234
25.757322,-100.379776
25.761478,-100.354867
25.794354,-100.399844
25.704228,-100.358612
25.58286,-100.25127
25.760903,-100.372902
25.746323,-100.365797
25.732873,-100.344433
25.724852,-100.384562
25.631014,-100.297262
25.760845,-100.359536
25.777058,-100.390923
25.735585,-100.397345
25.712271,-100.344138
25.783441,-100.401276
25.7657,-100.381687
25.758867,-100.396211
25.748998,-100.342341
25.653827,-100.317696
25.783809,-100.398845
25.756193,-100.38271
25.766871,-100.359479
25.764691,-100.358391
25.710131,-100.355856
25.728756,-100.368342
25.755542,-100.351657
25.662498,-100.334389
25.730007,-100.328648
25.777442,-100.404
25.643019,-100.304951
25.702086,-100.29197
25.634424,-100.289691
25.712075,-100.372363
25.732917,-100.37551
25.698699,-100.291739
25.730255,-100.37684
25.65633,-100.322113
25.621479,-100.261197
25.658788,-100.32287
25.591629,-100.244998
25.657011,-100.327914
25.727675,-100.382418
25.733473,-100.374656
25.745776,-100.341771
25.757361,-100.390925
25.708262,-100.354768
25.749215,-100.343595
25.697301,-100.332704
25.708508,-100.355592
25.629353,-100.30435
25.583016,-100.236011
25.751858,-100.358541
25.708223,-100.355233
25.737456,-100.329554
25.701576,-100.265426
25.729558,-100.339876
25.775765,-100.417456
25.749788,-100.34415
25.768021,-100.361283
25.661771,-100.285119
25.734819,-100.347612
25.623,-100.28081
25.764184,-100.360563
25.776139,-100.39174
25.744735,-100.357793
25.581033,-100.23773
25.655733,-100.308533
25.607565,-100.274599
25.69245,-100.287383
25.620605,-100.267623
25.726776,-100.327973
